date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:29	247823/247823	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225554a348-3c80f%22	http://html.templines.com/shoptime-html/bath/js/jquery.js	F:/wamp/wed3/html.templines.com/shoptime-html/bath/js/jquery.js	(from http://html.templines.com/shoptime-html/bath/)
21:55:29	7421/7421	---MCZ	200	added ('OK')	text/css	etag:W/%225554a436-1cfd%22	http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:30	21984/21984	---MCZ	200	added ('OK')	text/css	etag:W/%225554a59d-55e0%22	http://html.templines.com/shoptime-html/bath/fonts/font-awesome/css/font-awesome.min.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/font-awesome/css/font-awesome.min.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:30	14389/14389	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33d-3835%22	http://html.templines.com/shoptime-html/bath/css/bootstrap-theme.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/bootstrap-theme.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:31	117002/117002	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33e-1c90a%22	http://html.templines.com/shoptime-html/bath/css/bootstrap.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/bootstrap.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:32	56966/56966	---MCZ	200	added ('OK')	text/css	etag:W/%225554a340-de86%22	http://html.templines.com/shoptime-html/bath/css/style.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/style.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:32	1537/1537	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33f-601%22	http://html.templines.com/shoptime-html/bath/css/minimal.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/minimal.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:32	4059/4059	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33f-fdb%22	http://html.templines.com/shoptime-html/bath/css/jquery.bxslider.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/jquery.bxslider.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:32	648/648	---M--	200	added ('OK')	text/css	etag:%225554a340-288%22	http://html.templines.com/shoptime-html/bath/css/yamm.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/yamm.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:33	20451/20451	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33f-4fe3%22	http://html.templines.com/shoptime-html/bath/css/jquery-ui.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/jquery-ui.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:33	1038/1038	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33f-40e%22	http://html.templines.com/shoptime-html/bath/css/jquery.ui.slider.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/jquery.ui.slider.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:34	6324/6324	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33e-18b4%22	http://html.templines.com/shoptime-html/bath/css/flexslider-product.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/flexslider-product.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:34	58518/58518	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33d-e496%22	http://html.templines.com/shoptime-html/bath/css/animate.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/animate.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:35	68258/68258	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33e-10aa2%22	http://html.templines.com/shoptime-html/bath/css/hover.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/hover.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:35	1993/1993	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33f-7c9%22	http://html.templines.com/shoptime-html/bath/css/jquery.selectbox.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/jquery.selectbox.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:35	11194/11194	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33e-2bba%22	http://html.templines.com/shoptime-html/bath/css/flexslider.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/flexslider.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:35	18616/18616	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33f-48b8%22	http://html.templines.com/shoptime-html/bath/css/responsive.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/responsive.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:36	2886/2886	---MCZ	200	added ('OK')	text/css	etag:W/%225554a33e-b46%22	http://html.templines.com/shoptime-html/bath/css/debugging.css	F:/wamp/wed3/html.templines.com/shoptime-html/bath/css/debugging.css	(from http://html.templines.com/shoptime-html/bath/css/master.css)
21:55:55	583939/583939	---M--	200	added ('OK')	image/jpeg	etag:%225554a43d-8e903%22	http://html.templines.com/shoptime-html/bath/media/slides/1.jpg	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/slides/1.jpg	(from http://html.templines.com/shoptime-html/bath/)
